CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
CPT2,0.04130269837366983,0.051374173301197,-0.030794348933486967,-0.0042836740097555,-0.0010880613092586295,0.004265702436638739,0.00022568114197516007,-0.0004933522033191392,2.281589790942458e-05,-3.780610520130907e-05,-0.000262268215560248,-2.1223105853265724e-05,-0.00019584528679381834,-7.186959360971912e-15,-6.915258296547044e-15,7.778500066280003e-15
CPT3,0.12388949709212352,0.035690847353150014,-0.010046645773333637,-0.0011478155061820313,0.0012325687454833854,-0.00042966306536961277,-0.0010953757161791325,0.0010190581005084737,-0.0009940251692016925,0.0001343444385454532,0.000443316232321145,-7.95263115069098e-05,0.0004266661055303896,1.4132792158783047e-14,1.0884088769147482e-14,-2.2392677989646614e-14
CPT4,0.3454281856149336,-0.023925450755993696,0.006098980886297816,0.0088416573139993,0.0005527737682592898,0.0036882318885721327,-0.0032196312525808006,0.00028613881202435923,-2.1754879410609135e-05,-0.0010001337577542901,-0.0003205268030031221,0.00014219069800308973,8.174490950362077e-05,-1.3447576385772209e-14,1.863093013199091e-15,-1.688666567689623e-14
CPT5,-0.41615057449715137,-0.007544323436357072,0.014706354285392376,-0.002894143433265069,-0.0033481620243060563,0.00222751179182748,-0.00250040763903267,-0.0004792171056838303,-0.0009395528432119271,0.0012196029878353623,-0.0002865314778868998,4.354832542851142e-05,1.966911085046763e-07,-1.0547118733938987e-15,6.926750839575391e-15,4.3081857525884004e-15
CPT6,0.3449345098679244,-0.0252546812538143,-0.0002738626727445967,0.008454202170371477,0.0007922929321343103,0.001705355003019382,-0.0006274825283628695,0.00014014243826256448,0.00015045451306383573,0.0005756831406020582,0.0006427920718144464,-0.00023738684208451238,-0.0002779352533220786,1.7128659601794993e-14,-1.544077365966956e-14,4.1108609571960386e-14
CPT7,-0.5378516597538348,-0.03394254961150813,-0.01623889220676423,0.0012337566818664946,-0.003326427812229496,-0.002093814539393571,-0.0013232024481115226,-0.0017883563209748522,0.0011820113096530395,-0.00023805945385603489,0.0002938929632701377,0.00013196792632584522,0.00010678331454765273,3.372302437298913e-15,7.884318198314588e-15,-9.971190539914687e-15
CPT8,0.404164726391672,-0.052758283559870806,1.6506495437381558e-05,-0.020114602457437795,0.0005519235732501645,-9.527844257728457e-07,0.0002961129221395256,0.000541084919815412,0.00020270056166967962,-7.676996291032176e-05,2.6990626147513352e-05,4.918081148248734e-05,-8.548003944093031e-06,8.430756093247282e-16,1.2420620087993939e-15,4.394054564649252e-15
CPT9,0.1560424281288633,0.029570453739980868,0.006147471366608859,0.002436391968536462,0.005685192060054,-0.0012969029525277363,0.00012616621821938054,0.0008751417041922656,0.002108351166294881,0.0007540267241733529,-0.00021995459044964628,0.00015378621785612414,7.759564628713857e-05,-9.249545573908335e-15,1.157754447866921e-14,-1.605399840842736e-14
CPT10,-0.4915144586149512,-0.02016911148265561,-0.0058359992360769025,0.0042462198873996085,-0.0007794035814903551,-0.00045385215794470357,0.0021797787406189414,0.002870357824988439,-0.0005399780204199921,-0.0001712499419119079,1.5160242963319775e-05,0.00025506001410523053,-0.00012225362522314768,4.881511861398735e-15,6.500008864485096e-15,3.744053678200743e-14
CPT11,0.351619401729746,-0.030114742615390797,-0.00531520941787277,0.007642554764671581,-0.0005213973503446381,-0.0008695805224880546,0.004192948986133874,-0.0015288674132924451,-0.0007183895915220569,0.00038487800572488753,-0.0003109449283498003,2.8426153085900525e-05,0.00015503128614809125,-2.4598378889351125e-15,1.0456913113188193e-14,-2.4506438545124354e-14
CPT12,-0.4138736082328061,-0.009526165376187742,0.005317536884127226,-0.000726878489546192,0.003480452100326891,-2.9630957176181305e-05,0.0007688698660004434,0.0003335178480282225,0.00034356023154812065,-0.0004395781950553915,-0.0002799738101819313,-0.00062556977753542,5.2282579756721646e-05,-1.2712053631958042e-14,-2.6261978702812883e-14,-4.6656255248134215e-14
CPT13,-0.2292951439346452,0.027714137337079676,0.017854083498419347,-0.003059318960299233,0.009104626237819649,0.0014086815186268725,0.0014139950504399382,-0.0015661840997709536,-0.0005500745704795258,-0.0004971709603181773,0.00031170096281885745,0.0002073249065761701,-8.564510619007764e-05,9.107298248878237e-15,4.5493123157491766e-15,2.1404752970077823e-14
CPT15,0.19486201875339496,0.020275729952860984,-0.0014997759456893156,0.0005023630755529229,0.00034399807680175797,-0.008204623690895158,-0.0020725237711874418,-0.0002308535044240924,-0.0007887619755671087,-0.00020314876574554705,-0.00019994620810694693,-1.803076027820632e-05,-0.00020922236083650934,-2.357489203852481e-15,-8.407337326321596e-15,2.0326188648889243e-14
CPT16,0.1264419790810584,0.03860996640750855,0.019863800769686316,-0.0011307130059114714,-0.012680375416499981,8.353803153623302e-05,0.0016350704299272012,2.1388999647894633e-05,0.000542643369677181,-0.00040461815413061347,0.0001462929342062689,-2.9748255605588575e-05,-8.508965710196225e-07,2.5777990853015353e-15,-2.2495026674729246e-15,-6.145257913647839e-16
