component,eigenvalue,explained_variance_ratio
1,2.06479671030524,0.9424900213352417
2,0.06544575604043606,0.02987314523458977
3,0.025935501102228333,0.011838429839209597
4,0.01003120063287054,0.004578807420268802
5,0.008205230384679142,0.0037453313063316503
6,0.005675746420488371,0.00259073173559479
7,0.0034642117985457066,0.0015812622306234083
8,0.0026775078384411706,0.0012221660404547244
9,0.0015687628390562926,0.0007160721025332928
10,0.0009379139504311327,0.00042811698349799326
11,0.0009031509227806496,0.00041224917118094534
12,0.0005967315468797002,0.00027238203429088116
13,0.0005505114471858512,0.0002512845661822009
14,8.275253628877834e-30,3.77729387610397e-30
