CPT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
CPT2,-0.5693849655226505,-0.41412047342392355,-0.14559259507696518,-0.060895144158523574,0.03574450873182393,0.005971013631611389,0.033931931140800495,-0.005000495237334594,0.029333390576736187,-0.05382323344887509,-0.024382172823419618,-0.038380409296251534,0.015516797719272888,-2.999298191933618e-15
CPT3,-1.056847967886865,-0.303469205926395,-0.15038572144331566,-0.06227690674026186,0.012199142008914152,-0.003506373563834805,0.07017925647611355,0.006262423666452624,0.03477724331591674,-0.0009163108168024266,0.04751897288054642,0.03420046998598976,-0.014205000401806962,-2.9992981919336633e-15
CPT4,-2.8379775585581553,0.2451364205461419,0.052065345140708846,-0.06246970152156638,0.04853689182323436,0.025702733228882942,0.00022324989918622934,-0.014774260092752572,-0.038607101181470704,-0.02106353104031085,-0.00015532969698317216,0.032040542019097375,0.04617290623159431,-2.999298191933659e-15
CPT5,3.423752509818821,0.1856083729094919,-0.1883933700816402,-0.017837341305315956,0.0210010568545984,0.03744340173492805,-0.021658676595521852,-0.11998725482271491,0.018684760371195975,0.026343314960366272,-0.00427015803618638,4.027394420663768e-05,-0.0014592372189508479,-2.999298191933618e-15
CPT6,-2.8717096984591954,0.23996472129953386,0.05278443824378769,-0.04074801460926074,0.05612747555319905,0.048576810620659765,0.004032732051583699,-0.010904322637228629,-0.03886894156382896,-0.03206020841813722,-0.013423889026274123,-0.001048667379705618,-0.0499041679071585,-2.9992981919336117e-15
CPT7,4.126270009536045,0.2021865490589238,0.02183421436623755,0.0929381818141319,0.1776678616618861,-0.09102500392932758,0.018192769663952765,0.0468549358198339,0.004445742484942457,0.005194285675711583,-0.002362268639471566,0.0006873230348404141,0.00032883541478078386,-2.999298191933628e-15
CPT8,-3.0522059958614305,0.3976922228464623,0.052987420032517184,-0.009130670384034754,-0.04633873529150673,-0.00977924580409419,-0.04227347883838774,0.03371463048193073,0.08158988761812959,0.009871780392153013,-0.023305208655683075,0.009954777196592777,-0.001439820365421671,-2.99929819193363e-15
CPT9,-1.2443123274612462,-0.19203990239694918,-0.11584982381324158,-0.0652968259681056,-0.031117420088877006,-0.022860247095164585,0.06326233765962823,0.025028477827055175,-0.03300859241836287,0.07216084032326936,-0.03506109910112098,-0.0011076969513487453,-0.00010531781904615991,-2.999298191933654e-15
CPT10,4.0225243816051135,0.22953305313256928,-0.2083517780073127,0.03322890962142668,-0.08665064897118736,0.1422354393058042,0.0027456064620135774,0.06592132861212223,-0.014867043811920798,-0.011546405823656831,0.008745774908028388,-0.005162607421369405,0.003968503272487591,-2.9992981919336795e-15
CPT11,-2.8546798229772015,0.28225918047737103,0.08056301993120497,0.007694422945997403,-0.019179986756633533,-0.0379871557005391,0.00881059385068624,-0.007133745358282737,-0.00957172643948359,0.022391593819344142,0.044977673410950256,-0.050332449950445064,0.007459817666160655,-2.9992981919336625e-15
CPT12,3.667864618093669,-0.10460975516839169,0.5531353041347236,-0.05388536743817989,-0.06984158119904661,0.00744655850235247,0.04711399045270731,-0.015319449294361943,0.005822505891837325,-0.006599077883318374,-0.0035095601046170365,0.0026580520305523186,-0.0006738876619108947,-2.9992981919336562e-15
CPT13,1.9333060210859534,-0.09041323117719938,-0.12169899316403866,-0.1009305670784294,-0.08766724461017293,-0.1494835178980177,-0.0925328651974818,0.0093493734634094,-0.026751457387241957,-0.021192746454891227,0.004392133483522178,0.006639560306727873,-0.005852793619584957,-2.9992981919336117e-15
CPT15,-1.701892028967462,-0.14919167166821687,-0.027405544825892858,0.29398200372439415,-0.0782894072664016,-0.04026871568689516,0.02223466560402246,-0.02904179439464834,-0.011114148724633876,-0.015959991472457528,-0.007495413413895811,0.010595752937521272,3.794241265475643e-05,-2.9992981919336333e-15
CPT16,-0.9847071744453957,-0.5285362805094171,0.144308084563224,0.045627021097727836,0.06780808755017124,0.08753430265363096,-0.11426211262930452,0.01503015196651816,-0.0018645187318150583,0.027199690187604212,0.008330544814603373,-0.000784920456408229,0.00015542227692821498,-2.999298191933655e-15
