CPT,PC1,PC2,PC3,PC4,PC5
CPT2,-0.5693849655226505,-0.41412047342392355,-0.14559259507696518,-0.060895144158523574,0.03574450873182393
CPT3,-1.056847967886865,-0.303469205926395,-0.15038572144331566,-0.06227690674026186,0.012199142008914152
CPT4,-2.8379775585581553,0.2451364205461419,0.052065345140708846,-0.06246970152156638,0.04853689182323436
CPT5,3.423752509818821,0.1856083729094919,-0.1883933700816402,-0.017837341305315956,0.0210010568545984
CPT6,-2.8717096984591954,0.23996472129953386,0.05278443824378769,-0.04074801460926074,0.05612747555319905
CPT7,4.126270009536045,0.2021865490589238,0.02183421436623755,0.0929381818141319,0.1776678616618861
CPT8,-3.0522059958614305,0.3976922228464623,0.052987420032517184,-0.009130670384034754,-0.04633873529150673
CPT9,-1.2443123274612462,-0.19203990239694918,-0.11584982381324158,-0.0652968259681056,-0.031117420088877006
CPT10,4.0225243816051135,0.22953305313256928,-0.2083517780073127,0.03322890962142668,-0.08665064897118736
CPT11,-2.8546798229772015,0.28225918047737103,0.08056301993120497,0.007694422945997403,-0.019179986756633533
CPT12,3.667864618093669,-0.10460975516839169,0.5531353041347236,-0.05388536743817989,-0.06984158119904661
CPT13,1.9333060210859534,-0.09041323117719938,-0.12169899316403866,-0.1009305670784294,-0.08766724461017293
CPT15,-1.701892028967462,-0.14919167166821687,-0.027405544825892858,0.29398200372439415,-0.0782894072664016
CPT16,-0.9847071744453957,-0.5285362805094171,0.144308084563224,0.045627021097727836,0.06780808755017124
