CPT,L0,M0,H0,L1,M1,H1,L2,M2,H2,L3,M3,H3
CPT1,0.000587679065625,0.029506894375,1.393128875,0.000609272725,0.028187269,1.2955615687500002,0.0005653012256250001,0.0288149525,1.370309725,0.00056262008,0.02610079275,1.20182588125
CPT2,0.000528142014375,0.02644821825,1.2560036375,0.000549416055,0.025278305687500002,1.1696213812499998,0.000503175761875,0.0254895469375,1.21399866875,0.000500614451875,0.0231814064375,1.0718211125
CPT3,0.00052551364625,0.026141016375,1.2358984,0.0005456374318749999,0.0249425743125,1.14936936875,0.000498303109375,0.0250931698125,1.1911312124999998,0.0004948275825,0.022790879437499998,1.0501338375
CPT4,0.00048078205125,0.023678378625000003,1.12302581875,0.000501583240625,0.022700453500000002,1.04655643125,0.00045449273375,0.022650915937500002,1.0794915625,0.00045224392875,0.020627241625,0.9522641125
CPT5,0.0006251217937499999,0.031882045625,1.4894236250000001,0.0006382274625,0.029897293125000002,1.3685536687500002,0.00059942798125,0.030927576874999994,1.4487353375,0.0005923084175,0.027931790125,1.27776570625
CPT6,0.000482134138125,0.023812547125,1.1297185,0.00050256387875,0.0228172214375,1.0521253000000002,0.00045630659312500003,0.022788615625,1.0849328062499999,0.000453886480625,0.020727490375,0.9555914562500001
CPT7,0.0006386558125,0.03260672,1.51939216875,0.0006508287249999999,0.030636614375000003,1.4005132875,0.0006115668062499999,0.03161614,1.4791117437499999,0.0006058740993749999,0.028646288875,1.30969239375
CPT8,0.000499610085625,0.0245233880625,1.15572835625,0.000522044238125,0.0233408586875,1.07468130625,0.000470929925,0.023378233312499996,1.10706469375,0.00046509767875000003,0.0211228438125,0.9695656500000001
CPT9,0.00052031660125,0.0258934261875,1.2234956375,0.000540573405,0.024741544562500002,1.13942905625,0.0004939340618749999,0.024872163250000003,1.179762475,0.000490497823125,0.02259315875,1.04032041875
CPT10,0.00062761296875,0.032018648125,1.4958072062499999,0.0006414717625,0.0301685025,1.38193641875,0.0006019243649999999,0.031120988125,1.45894349375,0.000598577218125,0.0283008236875,1.2956343937500001
CPT11,0.0005024350349999999,0.0246309728125,1.15843694375,0.000521267215,0.0234791449375,1.074527325,0.000473968448125,0.0235121665625,1.1105628875,0.0004661001925,0.021142185124999997,0.968506375
CPT12,0.0006047896399999999,0.030921633750000004,1.4584310375,0.00062138953125,0.029276795,1.352027625,0.0005793042931250001,0.030051848125,1.4217740375,0.0005808348412499999,0.0276011264375,1.2741118875
CPT13,0.000598729135625,0.030211019375000002,1.41219899375,0.0006146893125,0.0285299040625,1.30582299375,0.00057050116,0.029096373124999998,1.366807675,0.0005648591643750001,0.02633932925,1.2071654125
CPT15,0.000510782335,0.0253352595625,1.19796139375,0.000532801461875,0.0243314614375,1.1194316249999998,0.000484236821875,0.024310172312500003,1.15423383125,0.000480704278125,0.022085888875,1.01729425625
CPT16,0.000515830836875,0.0257801763125,1.2242630937499999,0.000536245788125,0.0246185869375,1.13990065,0.00049093934625,0.0248278436875,1.182740625,0.00048796029624999997,0.0225752841875,1.04338513125
